Name,Address Line 1,Address Line 2,City,State,Postcode,Country,SingleLineAddress,Phone,Email,URL,Visible,Lat,Lng,Filters,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Products,Classes
Space Needle,400 Broad St,,Seattle,Washington,98109,US,"400 Broad St,Seattle,Washington,98109",206-905-2100,,https://www.spaceneedle.com,1,47.6205,-122.3493,"Observation Deck, Landmark",9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,"Tickets, Souvenirs",No
Pike Place Market,85 Pike St,,Seattle,Washington,98101,US,"85 Pike St,Seattle,Washington,98101",206-682-7453,,https://www.pikeplacemarket.org,1,47.6097,-122.3419,"Farmers Market, Landmark",9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,"Produce, Crafts, Seafood",Yes
Chihuly Garden and Glass,305 Harrison St,,Seattle,Washington,98109,US,"305 Harrison St,Seattle,Washington,98109",206-753-4940,,https://www.chihulygardenandglass.com,1,47.6205,-122.3503,"Art, Glass, Landmark",9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,"Art Exhibits, Souvenirs",Yes
Seattle Aquarium,1483 Alaskan Way, Pier 59,Seattle,Washington,98101,US,"1483 Alaskan Way, Seattle, Washington, 98101",206-386-4300,,https://www.seattleaquarium.org,1,47.6097,-122.3422,"Aquarium, Family Friendly",9:30 - 18:00,9:30 - 18:00,9:30 - 18:00,9:30 - 18:00,9:30 - 18:00,9:30 - 18:00,9:30 - 18:00,"Marine Life Exhibits, Souvenirs",No
Seattle Great Wheel,1301 Alaskan Way, Pier 57,Seattle,Washington,98101,US,"1301 Alaskan Way, Seattle, Washington, 98101",206-623-8607,,https://www.seattlegreatwheel.com,1,47.6095,-122.3421,"Ferris Wheel, Landmark",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Tickets, Photos",No
Museum of Pop Culture,325 5th Ave N,,Seattle,Washington,98109,US,"325 5th Ave N, Seattle, Washington, 98109",206-770-2700,,https://www.mopop.org,1,47.6216,-122.3482,"Museum, Art, Pop Culture",10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,"Exhibits, Movies, Merchandise",Yes
Seattle Art Museum,1300 1st Ave,,Seattle,Washington,98101,US,"1300 1st Ave, Seattle, Washington, 98101",206-654-3100,,https://www.seattleartmuseum.org,1,47.6097,-122.3373,"Art, Museum",10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,Closed,"Art Exhibits",Yes
Discovery Park,3801 Discovery Park Blvd,,Seattle,Washington,98199,US,"3801 Discovery Park Blvd, Seattle, Washington, 98199",206-386-4236,,https://www.seattle.gov/parks/find/parks/discovery-park,1,47.6656,-122.4077,"Park, Outdoor Recreation",Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,"Hiking Trails, Wildlife",No
Washington State Ferries,801 Alaskan Way,,Seattle,Washington,98104,US,"801 Alaskan Way, Seattle, Washington, 98104",206-464-6400,,https://www.wsdot.wa.gov/ferries,1,47.6088,-122.3423,"Ferry Service, Transportation",5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,"Ferry Tickets",No
The Seattle Public Library,1000 4th Ave,,Seattle,Washington,98104,US,"1000 4th Ave, Seattle, Washington, 98104",206-386-4636,,https://www.spl.org,1,47.6067,-122.3325,"Library, Landmark",10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,"Books, Events",Yes
